Type,Produit,Date de début,Date de fin,Description,Montant,Frais,Devise,État,Solde
Paiement par carte,Valeur actuelle,2025-08-21 16:16:57,2025-08-22 06:28:27,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,36.41
Paiement par carte,Valeur actuelle,2025-08-21 22:21:33,2025-08-22 06:28:27,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,29.81
Paiement par carte,Valeur actuelle,2025-08-21 14:08:03,2025-08-22 06:28:29,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,23.21
Paiement par carte,Valeur actuelle,2025-08-22 06:50:25,2025-08-23 05:52:34,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,20.91
Paiement par carte,Valeur actuelle,2025-08-22 14:12:11,2025-08-23 05:52:34,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,14.31
Paiement par carte,Valeur actuelle,2025-08-22 16:13:21,2025-08-23 05:52:37,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,12.01
Paiement par carte,Valeur actuelle,2025-08-24 08:19:21,2025-08-25 06:13:34,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,1.01
Changes,Valeur actuelle,2025-08-27 09:46:26,2025-08-27 09:46:26,Change en CHF,1300.00,0.00,CHF,TERMINÉ,1301.01
Virement,Valeur actuelle,2025-08-29 08:23:45,2025-08-29 08:52:51,Virement SWIFT à : Marie Baudois,-1200.00,1.44,CHF,TERMINÉ,99.57
Paiement par carte,Valeur actuelle,2025-08-29 19:14:05,2025-08-30 06:13:34,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,88.57
Changes,Valeur actuelle,2025-08-31 18:31:40,2025-08-31 18:31:40,Change en USD,-4.01,0.00,CHF,TERMINÉ,84.56
Paiement par carte,Valeur actuelle,2025-08-31 09:48:42,2025-09-01 06:24:31,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,77.96
Paiement par carte,Valeur actuelle,2025-08-31 09:50:55,2025-09-01 06:24:34,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,75.66
